date_time,region,tournament,matchday,league_href,begin_time,first_team,second_team,full_match_goals,half_match_goals,first_team_goals,second_team_goals,match_href
09/11/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,11:30,Myanmar,Nepal,1:0,0:0,1,0,
09/11/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,13:00,Hong Kong,Brunei,10:0,3:0,10,0,/report/freundschaft-2023-september-hongkong-brunei/
09/11/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,13:00,Cambodia,Macao,4:0,3:0,4,0,
09/11/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,13:30,Vietnam,Palestine,2:0,0:0,2,0,/report/freundschaft-2023-september-vietnam-palaestina/
09/11/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,17:00,Kyrgyzstan,Kuwait,3:1,1:1,3,1,
09/11/2023,FIFA,U21 Friendlies 2023,September,/schedule/u21-h-freundschaft-2023-september/0/,14:00,Uzbekistan,Russia,0:2,,0,2,
09/11/2023,FIFA,U21 Friendlies 2023,September,/schedule/u21-h-freundschaft-2023-september/0/,17:00,Denmark,Slovakia,0:2,0:0,0,2,/report/u21-h-freundschaft-2023-september-daenemark-slowakei/
09/11/2023,FIFA,U20 Friendlies 2023,September,/schedule/u20-h-freundschaft-2023-september/0/,15:15,Poland,Germany,1:1,1:1,1,1,/report/u20-h-freundschaft-2023-september-polen-deutschland/
09/11/2023,FIFA,U20 Friendlies 2023,September,/schedule/u20-h-freundschaft-2023-september/0/,16:00,Czech Republic,Italy,0:1,0:0,0,1,/report/u20-h-freundschaft-2023-september-tschechien-italien/
09/11/2023,FIFA,U20 Friendlies 2023,September,/schedule/u20-h-freundschaft-2023-september/0/,17:00,Denmark,France,1:3,1:1,1,3,/report/u20-h-freundschaft-2023-september-daenemark-frankreich_2/
09/11/2023,FIFA,U19 Friendlies 2023,September,/schedule/u19-h-freundschaft-2023-september/0/,09:00,Latvia,Austria,2:2,1:1,2,2,/report/u19-h-freundschaft-2023-september-lettland-oesterreich_2/
09/11/2023,FIFA,U19 Friendlies 2023,September,/schedule/u19-h-freundschaft-2023-september/0/,12:00,Finland,Wales,0:1,0:0,0,1,/report/u19-h-freundschaft-2023-september-finnland-wales/
