date_time,region,tournament,matchday,league_href,begin_time,first_team,second_team,full_match_goals,half_match_goals,first_team_goals,second_team_goals,match_href
09/13/2023,FIFA,WC Qualifiers South America 2023-2025,,/competition/wm-quali-suedamerika/,01:30,Chile,Colombia,0:0,0:0,0,0,/report/wm-quali-suedamerika-2023-2025-chile-kolumbien/
09/13/2023,FIFA,WC Qualifiers South America 2023-2025,,/competition/wm-quali-suedamerika/,03:00,Peru,Brazil,0:1,0:0,0,1,/report/wm-quali-suedamerika-2023-2025-peru-brasilien/
09/13/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,00:30,Mexico,Uzbekistan,3:3,1:2,3,3,/report/freundschaft-2023-september-mexiko-usbekistan/
09/13/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,01:30,USA,Oman,4:0,1:0,4,0,/report/freundschaft-2023-september-usa-oman/
09/13/2023,CONCACAF,CONCACAF Nations League A 2023/2024,Group B,/schedule/concacaf-nations-league-a-2023-2024-gruppe-b/0/,01:05,Jamaica,Haiti,2:2,0:2,2,2,/report/concacaf-nations-league-a-2023-2024-gruppe-b-jamaika-haiti/
09/13/2023,CONCACAF,CONCACAF Nations League A 2023/2024,Group B,/schedule/concacaf-nations-league-a-2023-2024-gruppe-b/0/,03:10,Honduras,Grenada,4:0,1:0,4,0,/report/concacaf-nations-league-a-2023-2024-gruppe-b-honduras-grenada/
09/13/2023,CONCACAF,CONCACAF Nations League B 2023/2024,Group D,/schedule/concacaf-nations-league-b-2023-2024-gruppe-d/0/,00:06,Puerto Rico,Antigua & Barbuda,5:0,3:0,5,0,/report/concacaf-nations-league-b-2023-2024-gruppe-d-puerto-rico-antigua-barbuda/
09/13/2023,Albania,Kategoria Superiore 2023/2024,,/competition/alb-kategoria-superiore/,15:00,Egnatia Rrogozhine,Erzeni Shijak,4:3,4:1,4,3,/report/kategoria-superiore-2023-2024-egnatia-rrogozhine-erzeni-shijak/
09/13/2023,Albania,Kategoria Superiore 2023/2024,,/competition/alb-kategoria-superiore/,18:00,Dinamo Tiranë,FK Kukësi,2:1,0:0,2,1,/report/kategoria-superiore-2023-2024-dinamo-tirane-fk-kukesi/
09/13/2023,Argentina,Copa de la Superliga 2023,,/competition/arg-copa-de-la-superliga/,22:00,Gimnasia de La Plata,Vélez Sarsfield,2:1,0:1,2,1,/report/copa-de-la-superliga-2023-gimnasia-de-la-plata-velez-sarsfield/
09/13/2023,Argentina,Torneo Federal A 2023,,/competition/arg-torneo-federal-a/,19:00,Círculo Deportivo,Sol de Mayo de Viedma,3:2,2:1,3,2,/report/torneo-federal-a-2023-circulo-deportivo-sol-de-mayo-de-viedma_2/
