date_time,region,tournament,matchday,league_href,begin_time,first_team,second_team,full_match_goals,half_match_goals,first_team_goals,second_team_goals,match_href
09/22/2023,FIFA,Women Friendlies 2023,September,/schedule/frauen-freundschaft-2023-september/0/,00:00,Venezuela,Uruguay,,,,,
09/22/2023,FIFA,Women Friendlies 2023,September,/schedule/frauen-freundschaft-2023-september/0/,00:30,USA,South Africa,3:0,3:0,3,0,/report/frauen-freundschaft-2023-september-usa-suedafrika/
09/22/2023,FIFA,Women Friendlies 2023,September,/schedule/frauen-freundschaft-2023-september/0/,09:00,Vietnam,Nepal,,,,,
09/22/2023,FIFA,Women Friendlies 2023,September,/schedule/frauen-freundschaft-2023-september/0/,09:00,Hong Kong,Philippines,,,,,
09/22/2023,FIFA,Women Friendlies 2023,September,/schedule/frauen-freundschaft-2023-september/0/,12:30,China,Mongolia,,,,,
09/22/2023,FIFA,Women Friendlies 2023,September,/schedule/frauen-freundschaft-2023-september/0/,12:30,South Korea,Myanmar,,,,,
09/22/2023,FIFA,U19 Women Freundschaft 2023,September,/schedule/u19-d-freundschaft-2023-september/0/,17:30,France,Austria,,,,,/report/u19-d-freundschaft-2023-september-frankreich-oesterreich/
09/22/2023,FIFA,U17 Women Freundschaft 2023,September,/schedule/u17-d-freundschaft-2023-september/0/,18:00,England,Germany,,,,,/report/u17-d-freundschaft-2023-september-england-deutschland/
09/22/2023,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,14:00,Poland,Faroe Islands,,,,,
09/22/2023,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,17:00,Switzerland,Scotland,,,,,
09/22/2023,UEFA,Women Nations League A 2023/2024,Group 1,/schedule/frauen-nations-league-c-2023-2024-gruppe-1/0/,19:30,Belgium,Netherlands,,,,,/report/frauen-nations-league-a-2023-2024-gruppe-1-belgien-niederlande/
09/22/2023,UEFA,Women Nations League A 2023/2024,Group 1,/schedule/frauen-nations-league-c-2023-2024-gruppe-1/0/,19:45,England,Scotland,,,,,/report/frauen-nations-league-a-2023-2024-gruppe-1-england-schottland/
09/22/2023,UEFA,Women Nations League A 2023/2024,Group 2,/schedule/frauen-nations-league-c-2023-2024-gruppe-2/0/,18:00,Norway,Austria,,,,,/report/frauen-nations-league-a-2023-2024-gruppe-2-norwegen-oesterreich/liveticker/
09/22/2023,UEFA,Women Nations League A 2023/2024,Group 2,/schedule/frauen-nations-league-c-2023-2024-gruppe-2/0/,20:10,France,Portugal,,,,,/report/frauen-nations-league-a-2023-2024-gruppe-2-frankreich-portugal/
09/22/2023,UEFA,Women Nations League A 2023/2024,Group 3,/schedule/frauen-nations-league-c-2023-2024-gruppe-3/0/,17:00,Denmark,Germany,,,,,/report/frauen-nations-league-a-2023-2024-gruppe-3-daenemark-deutschland/liveticker/
09/22/2023,UEFA,Women Nations League A 2023/2024,Group 3,/schedule/frauen-nations-league-c-2023-2024-gruppe-3/0/,19:00,Iceland,Wales,,,,,/report/frauen-nations-league-a-2023-2024-gruppe-3-island-wales/
09/22/2023,UEFA,Women Nations League A 2023/2024,Group 4,/schedule/frauen-nations-league-c-2023-2024-gruppe-4/0/,17:30,Sweden,Spain,,,,,/report/frauen-nations-league-a-2023-2024-gruppe-4-schweden-spanien/
09/22/2023,UEFA,Women Nations League A 2023/2024,Group 4,/schedule/frauen-nations-league-c-2023-2024-gruppe-4/0/,18:30,Switzerland,Italy,,,,,/report/frauen-nations-league-a-2023-2024-gruppe-4-schweiz-italien/
09/22/2023,UEFA,Women Nations League B 2023/2024,Group 1,/schedule/frauen-nations-league-b-2023-2024-gruppe-1/0/,16:00,Albania,Hungary,,,,,/report/frauen-nations-league-b-2023-2024-gruppe-1-albanien-ungarn/
09/22/2023,UEFA,Women Nations League B 2023/2024,Group 2,/schedule/frauen-nations-league-b-2023-2024-gruppe-2/0/,16:30,Finland,Slovakia,,,,,/report/frauen-nations-league-b-2023-2024-gruppe-2-finnland-slowakei/
09/22/2023,UEFA,Women Nations League B 2023/2024,Group 2,/schedule/frauen-nations-league-b-2023-2024-gruppe-2/0/,19:15,Croatia,Romania,,,,,/report/frauen-nations-league-b-2023-2024-gruppe-2-kroatien-rumaenien/
09/22/2023,UEFA,Women Nations League B 2023/2024,Group 3,/schedule/frauen-nations-league-b-2023-2024-gruppe-3/0/,14:00,Ukraine,Serbia,,,,,/report/frauen-nations-league-b-2023-2024-gruppe-3-ukraine-serbien/
09/22/2023,UEFA,Women Nations League B 2023/2024,Group 3,/schedule/frauen-nations-league-b-2023-2024-gruppe-3/0/,18:00,Greece,Poland,,,,,/report/frauen-nations-league-b-2023-2024-gruppe-3-griechenland-polen/
09/22/2023,UEFA,Women Nations League B 2023/2024,Group 4,/schedule/frauen-nations-league-b-2023-2024-gruppe-4/0/,15:00,Slovenia,Czech Republic,,,,,/report/frauen-nations-league-b-2023-2024-gruppe-4-slowenien-tschechien/
09/22/2023,UEFA,Women Nations League B 2023/2024,Group 4,/schedule/frauen-nations-league-b-2023-2024-gruppe-4/0/,20:00,Belarus,Bosnia-Herzegovina,,,,,/report/frauen-nations-league-b-2023-2024-gruppe-4-belarus-bosnien-herzegowina/
09/22/2023,UEFA,Women Nations League C 2023/2024,Group 1,/schedule/frauen-nations-league-a-2023-2024-gruppe-1/0/,14:30,Latvia,Malta,,,,,/report/frauen-nations-league-c-2023-2024-gruppe-1-lettland-malta/
09/22/2023,UEFA,Women Nations League C 2023/2024,Group 1,/schedule/frauen-nations-league-a-2023-2024-gruppe-1/0/,16:00,Moldova,Andorra,,,,,/report/frauen-nations-league-c-2023-2024-gruppe-1-moldau-andorra/
