date_time,region,tournament,matchday,league_href,begin_time,first_team,second_team,full_match_goals,half_match_goals,first_team_goals,second_team_goals,match_href
2023-09-19,Italy,Serie C Girone B 2023/2024,,/competition/ita-serie-c-girone-b/,17:30,ASD Pineto Calcio,AC Rimini,,,,,/report/serie-c-girone-b-2023-2024-asd-pineto-calcio-ac-rimini/liveticker/
2023-09-19,Italy,Serie C Girone B 2023/2024,,/competition/ita-serie-c-girone-b/,17:30,Fermana FC,US Recanatese,,,,,/report/serie-c-girone-b-2023-2024-fermana-fc-us-recanatese/liveticker/
2023-09-19,Italy,Serie C Girone B 2023/2024,,/competition/ita-serie-c-girone-b/,17:30,US Arezzo,Olbia,,,,,/report/serie-c-girone-b-2023-2024-us-arezzo-olbia/liveticker/
2023-09-19,Italy,Serie C Girone B 2023/2024,,/competition/ita-serie-c-girone-b/,17:30,Vis Pesaro,Virtus Entella,,,,,/report/serie-c-girone-b-2023-2024-vis-pesaro-virtus-entella/liveticker/
2023-09-19,Italy,Serie C Girone B 2023/2024,,/competition/ita-serie-c-girone-b/,19:45,Cesena FC,Ancona 1905,,,,,/report/serie-c-girone-b-2023-2024-cesena-fc-ancona-1905/liveticker/
2023-09-19,Italy,Serie C Girone B 2023/2024,,/competition/ita-serie-c-girone-b/,19:45,AC Perugia Calcio,US Pontedera,,,,,/report/serie-c-girone-b-2023-2024-ac-perugia-calcio-us-pontedera/liveticker/
2023-09-19,Italy,Serie C Girone B 2023/2024,,/competition/ita-serie-c-girone-b/,19:45,Juventus II,SPAL 2013 Ferrara,,,,,/report/serie-c-girone-b-2023-2024-juventus-ii-spal-2013-ferrara/liveticker/
2023-09-19,Italy,Serie C Girone B 2023/2024,,/competition/ita-serie-c-girone-b/,19:45,USD Sestri Levante,Pescara Calcio,,,,,/report/serie-c-girone-b-2023-2024-usd-sestri-levante-pescara-calcio/liveticker/
2023-09-19,Mexico,Primera División 2023/2024 Apertura,,/competition/mex-primera-division/,04:00,CF Pachuca,Santos Laguna,,,,,/report/primera-division-2023-2024-apertura-cf-pachuca-santos-laguna/liveticker/
2023-09-19,Mexico,LP - Serie A 2023/2024 Grupo A,,/competition/mex-lp-serie-a/,04:00,CF Reynosa,Mexicali FC,,,,,
2023-09-19,Netherlands,KNVB beker 2023/2024,2. pre-round,/schedule/ned-knvb-beker-2023-2024-2-vorrunde/0/,19:00,Olde Veste '54,VV Noordwijk,,,,,/report/knvb-beker-2023-2024-2-vorrunde-olde-veste-54-vv-noordwijk/
2023-09-19,Netherlands,KNVB beker 2023/2024,2. pre-round,/schedule/ned-knvb-beker-2023-2024-2-vorrunde/0/,19:00,CSV Apeldoorn,VV OJC Rosmalen,,,,,/report/knvb-beker-2023-2024-2-vorrunde-csv-apeldoorn-vv-ojc-rosmalen/
2023-09-19,Netherlands,KNVB beker 2023/2024,2. pre-round,/schedule/ned-knvb-beker-2023-2024-2-vorrunde/0/,19:00,SV Spakenburg,VV Scherpenzeel,,,,,/report/knvb-beker-2023-2024-2-vorrunde-sv-spakenburg-vv-scherpenzeel/
2023-09-19,Netherlands,KNVB beker 2023/2024,2. pre-round,/schedule/ned-knvb-beker-2023-2024-2-vorrunde/0/,19:00,GVVV,BVV Barendrecht,,,,,/report/knvb-beker-2023-2024-2-vorrunde-gvvv-bvv-barendrecht/
2023-09-19,Netherlands,KNVB beker 2023/2024,2. pre-round,/schedule/ned-knvb-beker-2023-2024-2-vorrunde/0/,19:00,DVS'33,IJsselmeervogels,,,,,/report/knvb-beker-2023-2024-2-vorrunde-dvs33-ijsselmeervogels/
2023-09-19,Netherlands,KNVB beker 2023/2024,2. pre-round,/schedule/ned-knvb-beker-2023-2024-2-vorrunde/0/,19:00,VV Eemdijk,Harkemase Boys,,,,,/report/knvb-beker-2023-2024-2-vorrunde-vv-eemdijk-harkemase-boys/
2023-09-19,Netherlands,KNVB beker 2023/2024,2. pre-round,/schedule/ned-knvb-beker-2023-2024-2-vorrunde/0/,19:00,Sparta Nijkerk,Unitas Gorinchem,,,,,/report/knvb-beker-2023-2024-2-vorrunde-sparta-nijkerk-unitas-gorinchem/
2023-09-19,Netherlands,KNVB beker 2023/2024,2. pre-round,/schedule/ned-knvb-beker-2023-2024-2-vorrunde/0/,19:00,RKAV Volendam,RKVV Westlandia,,,,,/report/knvb-beker-2023-2024-2-vorrunde-rkav-volendam-rkvv-westlandia/
2023-09-19,Netherlands,KNVB beker 2023/2024,2. pre-round,/schedule/ned-knvb-beker-2023-2024-2-vorrunde/0/,19:00,RKVV DEM,Sportlust '46,,,,,/report/knvb-beker-2023-2024-2-vorrunde-rkvv-dem-sportlust-46/
2023-09-19,Netherlands,KNVB beker 2023/2024,2. pre-round,/schedule/ned-knvb-beker-2023-2024-2-vorrunde/0/,19:00,SVV Scheveningen,HSV Hoek,,,,,/report/knvb-beker-2023-2024-2-vorrunde-svv-scheveningen-hsv-hoek/
2023-09-19,Nicaragua,Liga Primera 2023/2024 Apertura,,/competition/nca-liga-primera/,02:00,UNAN Managua,H&H Export Sébaco,,,,,
2023-09-19,Nicaragua,Liga Primera 2023/2024 Apertura,,/competition/nca-liga-primera/,02:00,Real Estelí FC,Matagalpa FC,,,,,
2023-09-19,Paraguay,Copa Paraguay 2023,Round of 16,/schedule/par-copa-paraguay-2023-achtelfinale/0/,22:00,Club Nacional,Sportivo Luqueño,,,,,
2023-09-19,Peru,Primera División 2023 Clausura,,/competition/per-primera-division/,19:00,Alianza Atlético,Deportivo Binacional,,,,,/report/primera-division-2023-clausura-alianza-atletico-deportivo-binacional/liveticker/
2023-09-19,Peru,Primera División 2023 Clausura,,/competition/per-primera-division/,21:20,Academia Cantolao,FBC Melgar,,,,,/report/primera-division-2023-clausura-academia-cantolao-fbc-melgar/liveticker/
2023-09-19,Peru,Segunda División 2023,,/competition/per-segunda-division_2/,17:00,Ayacucho FC,Santos FC,,,,,
2023-09-19,Peru,Segunda División 2023,,/competition/per-segunda-division_2/,19:00,Carlos Stein,Llacuabamba,,,,,
2023-09-19,Peru,Segunda División 2023,,/competition/per-segunda-division_2/,21:15,Pirata,Comerciantes Unidos,,,,,
2023-09-19,Poland,Puchar Polski 2023/2024,1. Round,/schedule/pol-puchar-polski-2023-2024-1-runde/0/,16:00,Miedź Legnica II,Stal Rzeszow,,,,,
2023-09-19,Portugal,U23 Liga Revelação 2023/2024,,/competition/por-u23-h-liga-revelacao/,11:00,Leixões SC,FC Famalicão,,,,,
2023-09-19,Portugal,U23 Liga Revelação 2023/2024,,/competition/por-u23-h-liga-revelacao/,15:00,Académico de Viseu,Rio Ave FC,,,,,
2023-09-19,Portugal,U23 Liga Revelação 2023/2024,,/competition/por-u23-h-liga-revelacao/,15:00,Gil Vicente,FC Vizela,,,,,
2023-09-19,Portugal,U23 Liga Revelação 2023/2024,,/competition/por-u23-h-liga-revelacao/,15:00,Portimonense SC,CD Santa Clara,,,,,
2023-09-19,Portugal,U23 Liga Revelação 2023/2024,,/competition/por-u23-h-liga-revelacao/,15:00,Sporting CP,CD Mafra,,,,,
2023-09-19,Portugal,U23 Liga Revelação 2023/2024,,/competition/por-u23-h-liga-revelacao/,15:30,Estrela Amadora,GD Estoril,,,,,
2023-09-19,Russia,Kubok 2023/2024,PL Group C,/schedule/rus-kubok-2023-2024-pl-gruppe-c/0/,15:15,Baltika Kaliningrad,Krylia Sovetov,,,,,/report/kubok-2023-2024-pl-gruppe-c-baltika-kaliningrad-krylia-sovetov/liveticker/
2023-09-19,Russia,Kubok 2023/2024,PL Group D,/schedule/rus-kubok-2023-2024-pl-gruppe-d/0/,13:00,FK Krasnodar,Dinamo Moskva,,,,,/report/kubok-2023-2024-pl-gruppe-d-fk-krasnodar-dinamo-moskva/liveticker/
2023-09-19,Russia,Kubok 2023/2024,PL Group D,/schedule/rus-kubok-2023-2024-pl-gruppe-d/0/,15:15,FK Nizhny Novgorod,Spartak Moskva,,,,,/report/kubok-2023-2024-pl-gruppe-d-fk-nizhny-novgorod-spartak-moskva/liveticker/
2023-09-19,South Africa,Premier Soccer League 2023/2024,,/competition/rsa-premier-soccer-league/,18:30,Cape Town Spurs,Golden Arrows,,,,,/report/premier-soccer-league-2023-2024-cape-town-spurs-golden-arrows/liveticker/
2023-09-19,South Africa,Premier Soccer League 2023/2024,,/competition/rsa-premier-soccer-league/,18:30,Richards Bay FC,Chippa United,,,,,/report/premier-soccer-league-2023-2024-richards-bay-fc-chippa-united/liveticker/
2023-09-19,South Africa,Premier Soccer League 2023/2024,,/competition/rsa-premier-soccer-league/,18:30,Stellenbosch FC,Moroka Swallows,,,,,/report/premier-soccer-league-2023-2024-stellenbosch-fc-moroka-swallows/liveticker/
2023-09-19,South Korea,K League 2 2023,,/competition/kor-k-league-2/,11:00,Busan IPark,Ansan Greeners,,,,,
2023-09-19,South Korea,K League 2 2023,,/competition/kor-k-league-2/,11:30,Chungbuk Cheongju FC,Seoul E-Land FC,,,,,
2023-09-19,South Korea,K League 2 2023,,/competition/kor-k-league-2/,11:30,Seongnam FC,Gimcheon Sangmu,,,,,
2023-09-19,Spain,Segunda RFEF Grupo 3 2023/2024,,/competition/esp-segunda-rfef-grupo-3/,17:00,CE Manresa,Peña Deportiva,,,,,
