date_time,region,tournament,matchday,league_href,begin_time,first_team,second_team,full_match_goals,half_match_goals,first_team_goals,second_team_goals,match_href
09/12/2023,FIFA,WC Qualifiers South America 2023-2025,,/competition/wm-quali-suedamerika/,21:00,Bolivia,Argentina,0:3,0:2,0,3,/report/wm-quali-suedamerika-2023-2025-bolivien-argentinien/
09/12/2023,FIFA,WC Qualifiers South America 2023-2025,,/competition/wm-quali-suedamerika/,22:00,Ecuador,Uruguay,2:1,1:1,2,1,/report/wm-quali-suedamerika-2023-2025-ecuador-uruguay/
09/12/2023,FIFA,WC Qualifiers South America 2023-2025,,/competition/wm-quali-suedamerika/,23:00,Venezuela,Paraguay,1:0,0:0,1,0,/report/wm-quali-suedamerika-2023-2025-venezuela-paraguay/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,12:00,Philippines,Afghanistan,2:1,0:0,2,1,
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,12:30,Singapore,Taiwan,3:1,1:1,3,1,/report/freundschaft-2023-september-singapur-taiwan/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,12:35,China,Syria,0:1,0:0,0,1,
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,13:20,Japan,Turkey,4:2,3:1,4,2,/report/freundschaft-2023-september-japan-tuerkei/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,14:00,Kenya,South Sudan,0:1,0:1,0,1,
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,16:00,South Africa,Congo DR,1:0,1:0,1,0,/report/freundschaft-2023-september-suedafrika-dr-kongo/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,16:00,Costa Rica,UA Emirates,1:4,0:3,1,4,/report/freundschaft-2023-september-costa-rica-va-emirate/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,16:00,Bahrain,Turkmenistan,1:1,1:1,1,1,
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,16:15,Qatar,Russia,1:1,0:0,1,1,/report/freundschaft-2023-september-katar-russland/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,17:00,Azerbaijan,Jordan,2:1,1:0,2,1,/report/freundschaft-2023-september-aserbaidschan-jordanien/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,17:00,Ghana,Liberia,3:1,0:0,3,1,/report/freundschaft-2023-september-ghana-liberia/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,17:30,South Korea,Saudi Arabia,1:0,1:0,1,0,/report/freundschaft-2023-september-suedkorea-saudi-arabien/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,18:00,Egypt,Tunisia,1:3,1:2,1,3,/report/freundschaft-2023-september-aegypten-tunesien/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,19:30,Morocco,Burkina Faso,1:0,1:0,1,0,/report/freundschaft-2023-september-marokko-burkina-faso/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,19:45,Scotland,England,1:3,0:2,1,3,/report/freundschaft-2023-september-schottland-england/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,20:00,Germany,France,2:1,1:0,2,1,/report/freundschaft-2023-september-deutschland-frankreich/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,20:00,Senegal,Algeria,0:1,0:0,0,1,/report/freundschaft-2023-september-senegal-algerien/
09/12/2023,FIFA,Friendlies 2023,September,/schedule/freundschaft-2023-september/0/,20:00,Ivory Coast,Mali,,,,,/report/freundschaft-2023-september-elfenbeinkueste-mali/liveticker/
09/12/2023,FIFA,Friendlies Clubs 2023,Week,/schedule/freundschaft-vereine-2023-kalenderwoche/0/,17:00,TSG Pfeddersheim,Waldhof Mannheim,1:5,,1,5,
09/12/2023,FIFA,Women Friendlies 2023,September,/schedule/frauen-freundschaft-2023-september/0/,,Cameroon,Central Afr. Republic,,,,,
09/12/2023,FIFA,U20 Friendlies 2023,September,/schedule/u20-h-freundschaft-2023-september/0/,17:30,Portugal,Romania,2:1,0:1,2,1,/report/u20-h-freundschaft-2023-september-portugal-rumaenien/
09/12/2023,FIFA,U19 Friendlies 2023,September,/schedule/u19-h-freundschaft-2023-september/0/,09:00,Israel,Romania,1:3,1:1,1,3,/report/u19-h-freundschaft-2023-september-israel-rumaenien_2/
09/12/2023,FIFA,U19 Friendlies 2023,September,/schedule/u19-h-freundschaft-2023-september/0/,10:00,Germany,Switzerland,6:1,3:0,6,1,/report/u19-h-freundschaft-2023-september-deutschland-schweiz/
09/12/2023,FIFA,U19 Friendlies 2023,September,/schedule/u19-h-freundschaft-2023-september/0/,10:00,Slovenia,Iceland,0:1,0:0,0,1,/report/u19-h-freundschaft-2023-september-slowenien-island/
09/12/2023,FIFA,U19 Friendlies 2023,September,/schedule/u19-h-freundschaft-2023-september/0/,12:00,Belgium,Czech Republic,3:1,1:0,3,1,/report/u19-h-freundschaft-2023-september-belgien-tschechien/
09/12/2023,FIFA,U19 Friendlies 2023,September,/schedule/u19-h-freundschaft-2023-september/0/,14:00,Montenegro,Hungary,4:0,3:0,4,0,/report/u19-h-freundschaft-2023-september-montenegro-ungarn/
09/12/2023,FIFA,U19 Friendlies 2023,September,/schedule/u19-h-freundschaft-2023-september/0/,16:00,Serbia,France,0:1,0:0,0,1,/report/u19-h-freundschaft-2023-september-serbien-frankreich/
09/12/2023,FIFA,U19 Friendlies 2023,September,/schedule/u19-h-freundschaft-2023-september/0/,16:00,Mexico,Portugal,1:1,1:0,1,1,/report/u19-h-freundschaft-2023-september-mexiko-portugal/
09/12/2023,FIFA,U18 Friendlies 2023,September,/schedule/u18-h-freundschaft-2023-september_2/0/,10:00,Poland,Austria,4:0,3:0,4,0,/report/u18-h-freundschaft-2023-september-polen-oesterreich/
09/12/2023,FIFA,U18 Friendlies 2023,September,/schedule/u18-h-freundschaft-2023-september_2/0/,11:00,Croatia,Saudi Arabia,2:2,2:0,2,2,/report/u18-h-freundschaft-2023-september-kroatien-saudi-arabien/
09/12/2023,FIFA,U18 Friendlies 2023,September,/schedule/u18-h-freundschaft-2023-september_2/0/,16:00,Denmark,Norway,3:3,0:0,3,3,/report/u18-h-freundschaft-2023-september-daenemark-norwegen/
09/12/2023,FIFA,U18 Friendlies 2023,September,/schedule/u18-h-freundschaft-2023-september_2/0/,17:00,Sweden,Belgium,1:3,0:1,1,3,/report/u18-h-freundschaft-2023-september-schweden-belgien/
09/12/2023,FIFA,U17 Friendlies 2023,September,/schedule/u17-h-freundschaft-2023-september/0/,10:00,Germany,Italy,2:4,2:2,2,4,/report/u17-h-freundschaft-2023-september-deutschland-italien/
09/12/2023,FIFA,U17 Friendlies 2023,September,/schedule/u17-h-freundschaft-2023-september/0/,10:00,Denmark,Israel,2:1,1:0,2,1,/report/u17-h-freundschaft-2023-september-daenemark-israel/
09/12/2023,FIFA,U17 Friendlies 2023,September,/schedule/u17-h-freundschaft-2023-september/0/,10:00,Portugal,Morocco,6:0,1:0,6,0,/report/u17-h-freundschaft-2023-september-portugal-marokko/
09/12/2023,FIFA,U17 Friendlies 2023,September,/schedule/u17-h-freundschaft-2023-september/0/,17:00,Switzerland,Finland,2:2,0:1,2,2,/report/u17-h-freundschaft-2023-september-schweiz-finnland/
09/12/2023,FIFA,U17 Friendlies 2023,September,/schedule/u17-h-freundschaft-2023-september/0/,18:00,Spain,England,1:4,0:2,1,4,/report/u17-h-freundschaft-2023-september-spanien-england/
09/12/2023,UEFA,EURO Qualifiers 2023/2024,Group A,/schedule/em-qualifikation-2023-2024-gruppe-a/0/,19:45,Norway,Georgia,2:1,2:0,2,1,/report/em-qualifikation-2023-2024-gruppe-a-norwegen-georgien/
09/12/2023,UEFA,EURO Qualifiers 2023/2024,Group A,/schedule/em-qualifikation-2023-2024-gruppe-a/0/,19:45,Spain,Cyprus,6:0,2:0,6,0,/report/em-qualifikation-2023-2024-gruppe-a-spanien-zypern/
09/12/2023,UEFA,EURO Qualifiers 2023/2024,Group C,/schedule/em-qualifikation-2023-2024-gruppe-c/0/,19:45,Italy,Ukraine,2:1,2:1,2,1,/report/em-qualifikation-2023-2024-gruppe-c-italien-ukraine/
09/12/2023,UEFA,EURO Qualifiers 2023/2024,Group C,/schedule/em-qualifikation-2023-2024-gruppe-c/0/,19:45,Malta,North Macedonia,0:2,0:2,0,2,/report/em-qualifikation-2023-2024-gruppe-c-malta-nordmazedonien/
09/12/2023,UEFA,EURO Qualifiers 2023/2024,Group F,/schedule/em-qualifikation-2023-2024-gruppe-f/0/,19:45,Belgium,Estonia,5:0,2:0,5,0,/report/em-qualifikation-2023-2024-gruppe-f-belgien-estland/
09/12/2023,UEFA,EURO Qualifiers 2023/2024,Group F,/schedule/em-qualifikation-2023-2024-gruppe-f/0/,19:45,Sweden,Austria,1:3,0:0,1,3,/report/em-qualifikation-2023-2024-gruppe-f-schweden-oesterreich/
09/12/2023,UEFA,EURO Qualifiers 2023/2024,Group I,/schedule/em-qualifikation-2023-2024-gruppe-i/0/,19:45,Switzerland,Andorra,3:0,0:0,3,0,/report/em-qualifikation-2023-2024-gruppe-i-schweiz-andorra/
09/12/2023,UEFA,EURO Qualifiers 2023/2024,Group I,/schedule/em-qualifikation-2023-2024-gruppe-i/0/,19:45,Israel,Belarus,1:0,0:0,1,0,/report/em-qualifikation-2023-2024-gruppe-i-israel-belarus/
09/12/2023,UEFA,EURO Qualifiers 2023/2024,Group I,/schedule/em-qualifikation-2023-2024-gruppe-i/0/,19:45,Romania,Kosovo,2:0,0:0,2,0,/report/em-qualifikation-2023-2024-gruppe-i-rumaenien-kosovo/
09/12/2023,UEFA,U21 EURO Qualifiers 2023/2024,Group A,/schedule/u21-h-em-qualifikation-2023-2024-gruppe-a/0/,17:00,Norway,Latvia,7:0,2:0,7,0,/report/u21-h-em-qualifikation-2023-2024-gruppe-a-norwegen-lettland/
09/12/2023,UEFA,U21 EURO Qualifiers 2023/2024,Group A,/schedule/u21-h-em-qualifikation-2023-2024-gruppe-a/0/,17:30,Turkey,Italy,0:2,0:1,0,2,/report/u21-h-em-qualifikation-2023-2024-gruppe-a-tuerkei-italien/
