date_time,region,tournament,matchday,league_href,begin_time,first_team,second_team,full_match_goals,half_match_goals,first_team_goals,second_team_goals,match_href
09/14/2023,FIFA,U17 Friendlies 2023,September,/schedule/u17-h-freundschaft-2023-september/0/,11:00,Switzerland,Finland,1:0,0:0,1,0,/report/u17-h-freundschaft-2023-september-schweiz-finnland_2/
09/14/2023,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,16:00,Sweden,Norway,2:1,1:1,2,1,/report/u16-h-freundschaft-2023-september-schweden-norwegen/
09/14/2023,Albania,Kategoria Superiore 2023/2024,,/competition/alb-kategoria-superiore/,14:00,KF Tiranë,KF Skënderbeu,3:1,1:1,3,1,/report/kategoria-superiore-2023-2024-kf-tirane-kf-skenderbeu/
09/14/2023,Albania,Kategoria Superiore 2023/2024,,/competition/alb-kategoria-superiore/,17:00,FK Vllaznia,FK Partizani,0:0,0:0,0,0,/report/kategoria-superiore-2023-2024-fk-vllaznia-fk-partizani/
09/14/2023,Argentina,Copa de la Superliga 2023,,/competition/arg-copa-de-la-superliga/,00:00,Sarmiento de Junín,Central Córdoba SdE,0:1,0:1,0,1,/report/copa-de-la-superliga-2023-sarmiento-de-junin-central-cordoba-sde/
09/14/2023,Argentina,Copa de la Superliga 2023,,/competition/arg-copa-de-la-superliga/,23:00,Platense,Lanús,2:1,0:1,2,1,/report/copa-de-la-superliga-2023-platense-lanus/
09/14/2023,Argentina,Torneo Federal A 2023,,/competition/arg-torneo-federal-a/,00:00,Liniers de Bahía Blanca,Cipolletti,0:1,0:0,0,1,/report/torneo-federal-a-2023-liniers-de-bahia-blanca-cipolletti_2/
09/14/2023,Argentina,Torneo Federal A 2023,,/competition/arg-torneo-federal-a/,00:00,Sportivo Las Parejas,Belgrano de San Francisco,1:1,0:1,1,1,/report/torneo-federal-a-2023-sportivo-las-parejas-belgrano-de-san-francisco_2/
09/14/2023,Argentina,Torneo Federal A 2023,,/competition/arg-torneo-federal-a/,00:30,El Linqueño,Defensores de Belgrano de Villa Ramallo,3:0,2:0,3,0,/report/torneo-federal-a-2023-el-linqueno-defensores-de-belgrano-de-villa-ramallo_2/
09/14/2023,Argentina,Torneo Federal A 2023,,/competition/arg-torneo-federal-a/,00:30,Gimnasia y Esgrima (CdU),Douglas Haig,1:1,0:0,1,1,/report/torneo-federal-a-2023-gimnasia-y-esgrima-cdu-douglas-haig_2/
09/14/2023,Argentina,Torneo Federal A 2023,,/competition/arg-torneo-federal-a/,01:00,Juventud Unida Universitario,Estudiantes de San Luis,2:0,2:0,2,0,/report/torneo-federal-a-2023-juventud-unida-universitario-estudiantes-de-san-luis_2/
09/14/2023,Argentina,Torneo Federal A 2023,,/competition/arg-torneo-federal-a/,01:30,San Martín de Mendoza,Ferro Carril Oeste de Gral. Pico,0:0,0:0,0,0,/report/torneo-federal-a-2023-san-martin-de-mendoza-ferro-carril-oeste-de-gral-pico_2/
09/14/2023,Argentina,Copa de la SAF Reserva 2023,,/competition/arg-copa-de-la-saf-reserva/,15:00,Arsenal de Sarandí II,Atlético Tucumán II,2:1,1:0,2,1,/report/copa-de-la-saf-reserva-2023-arsenal-de-sarandi-ii-atletico-tucuman-ii/
09/14/2023,Argentina,Copa de la SAF Reserva 2023,,/competition/arg-copa-de-la-saf-reserva/,15:00,Racing Club II,Godoy Cruz II,3:1,2:0,3,1,/report/copa-de-la-saf-reserva-2023-racing-club-ii-godoy-cruz-ii/
09/14/2023,Argentina,Copa de la SAF Reserva 2023,,/competition/arg-copa-de-la-saf-reserva/,15:00,Unión de Santa Fe II,Platense II,0:0,0:0,0,0,/report/copa-de-la-saf-reserva-2023-union-de-santa-fe-ii-platense-ii/
