date_time,region,tournament,matchday,league_href,begin_time,first_team,second_team,full_match_goals,half_match_goals,first_team_goals,second_team_goals,match_href
09/18/2023,CAF,CAF Champions League 2023/2024,Qual. 2. Round,/schedule/caf-champions-league-2023-2024-qual-2-runde/0/,15:30,Al Ahly Benghazi,ASEC Mimosas,0:0,0:0,0,0,
09/18/2023,CAF,Women Women's Cup QF 2023,1. Round,/schedule/frauen-womens-cup-qf-2023-1-runde/0/,,Equatorial Guinea,Libya,,,,,
09/18/2023,CAF,Women Women's Cup QF 2023,1. Round,/schedule/frauen-womens-cup-qf-2023-1-runde/0/,,Angola,Sudan,,,,,
09/18/2023,AFC,AFC Champions League 2023/2024,Group B,/schedule/afc-champions-league-2023-2024-gruppe-b/0/,17:00,Al Faisaly,FC Nasaf,0:1,0:0,0,1,/report/afc-champions-league-2023-2024-gruppe-b-al-faisaly-nasaf-qarshi/
09/18/2023,AFC,AFC Champions League 2023/2024,Group B,/schedule/afc-champions-league-2023-2024-gruppe-b/0/,19:00,Al Sadd,Sharjah FC,0:0,0:0,0,0,/report/afc-champions-league-2023-2024-gruppe-b-al-sadd-sharjah-fc/
09/18/2023,AFC,AFC Champions League 2023/2024,Group C,/schedule/afc-champions-league-2023-2024-gruppe-c/0/,17:00,Al Ittihad,FC AGMK,3:0,3:0,3,0,/report/afc-champions-league-2023-2024-gruppe-c-al-ittihad-fc-agmk/
09/18/2023,AFC,AFC Champions League 2023/2024,Group C,/schedule/afc-champions-league-2023-2024-gruppe-c/0/,17:00,Al Quwa Al Jawiya,Sepahan FC,2:2,1:1,2,2,/report/afc-champions-league-2023-2024-gruppe-c-al-quwa-al-jawiya-sepahan-fc/
09/18/2023,AFC,AFC Champions League 2023/2024,Group D,/schedule/afc-champions-league-2023-2024-gruppe-d/0/,15:00,Mumbai City FC,FC Nassaji Mazandaran,0:2,0:1,0,2,/report/afc-champions-league-2023-2024-gruppe-d-mumbai-city-fc-fc-nassaji-mazandaran/
09/18/2023,AFC,AFC Champions League 2023/2024,Group D,/schedule/afc-champions-league-2023-2024-gruppe-d/0/,19:00,Al Hilal,Navbahor Namangan,1:1,0:0,1,1,/report/afc-champions-league-2023-2024-gruppe-d-al-hilal-navbahor-namangan/
09/18/2023,AFC,AFC Cup 2023/2024,Group A,/schedule/afc-cup-2023-2024-gruppe-a/0/,17:00,Al Ahed,Al Nahda,2:1,0:0,2,1,
09/18/2023,AFC,AFC Cup 2023/2024,Group A,/schedule/afc-cup-2023-2024-gruppe-a/0/,17:00,Jabal Al Mukaber,Al Fotuwa SC,1:0,0:0,1,0,
09/18/2023,AFC,AFC Cup 2023/2024,Group C,/schedule/afc-cup-2023-2024-gruppe-c/0/,17:00,Al Zawra’a,Al Arabi SC,1:2,0:1,1,2,
09/18/2023,AFC,AFC Cup 2023/2024,Group C,/schedule/afc-cup-2023-2024-gruppe-c/0/,19:00,Nejmeh SC,Riffa SC,0:2,0:2,0,2,
09/18/2023,Albania,Kategoria Superiore 2023/2024,,/competition/alb-kategoria-superiore/,15:00,FK Kukësi,KF Tiranë,1:2,0:0,1,2,
09/18/2023,Albania,Kategoria Superiore 2023/2024,,/competition/alb-kategoria-superiore/,17:30,FK Partizani,Egnatia Rrogozhine,1:1,1:1,1,1,
09/18/2023,Argentina,Primera B Metropolitana 2023 Clausura,,/competition/arg-primera-b-metropolitana/,19:30,Argentino de Quilmes,Atlético San Miguel,0:1,0:0,0,1,
09/18/2023,Belgium,Reserve Pro League 2023/2024,,/competition/bel-reserve-pro-league/,19:00,Lierse Kempenzonen II,KV Oostende II,4:4,,4,4,
