date_time,region,tournament,matchday,league_href,begin_time,first_team,second_team,full_match_goals,half_match_goals,first_team_goals,second_team_goals,match_href
09/20/2023,FIFA,U19 Friendlies 2023,September,/schedule/u19-h-freundschaft-2023-september/0/,15:00,Netherlands,France,5:2,0:1,5,2,
09/20/2023,FIFA,U19 Women Freundschaft 2023,September,/schedule/u19-d-freundschaft-2023-september/0/,15:00,Netherlands,France,5:2,0:1,5,2,/report/u19-d-freundschaft-2023-september-niederlande-frankreich/
09/20/2023,FIFA,U18 Friendlies 2023,September,/schedule/u18-h-freundschaft-2023-september_2/0/,10:30,Hungary,Bosnia-Herzegovina,0:1,0:1,0,1,/report/u18-h-freundschaft-2023-september-ungarn-bosnien-herzegowina/
09/20/2023,FIFA,U16 Friendlies 2023,September,/schedule/u16-h-freundschaft-2023-september_2/0/,14:00,Scotland,Faroe Islands,2:1,1:0,2,1,/report/u16-h-freundschaft-2023-september-schottland-faeroeer/
09/20/2023,UEFA,Champions League 2023/2024,Group A,/schedule/champions-league-2023-2024-gruppe-a/0/,17:45,Galatasaray,FC København,2:2,0:1,2,2,/report/champions-league-2023-2024-gruppe-a-galatasaray-fc-koebenhavn/
09/20/2023,UEFA,Champions League 2023/2024,Group A,/schedule/champions-league-2023-2024-gruppe-a/0/,20:00,Bayern München,Manchester United,4:3,2:0,4,3,/report/champions-league-2023-2024-gruppe-a-bayern-muenchen-manchester-united/
09/20/2023,UEFA,Champions League 2023/2024,Group B,/schedule/champions-league-2023-2024-gruppe-b/0/,20:00,Arsenal FC,PSV Eindhoven,4:0,3:0,4,0,/report/champions-league-2023-2024-gruppe-b-arsenal-fc-psv-eindhoven/
09/20/2023,UEFA,Champions League 2023/2024,Group B,/schedule/champions-league-2023-2024-gruppe-b/0/,20:00,Sevilla FC,RC Lens,1:1,1:1,1,1,/report/champions-league-2023-2024-gruppe-b-sevilla-fc-rc-lens/
09/20/2023,UEFA,Champions League 2023/2024,Group C,/schedule/champions-league-2023-2024-gruppe-c/0/,17:45,Real Madrid,1. FC Union Berlin,1:0,0:0,1,0,/report/champions-league-2023-2024-gruppe-c-real-madrid-1-fc-union-berlin/
09/20/2023,UEFA,Champions League 2023/2024,Group C,/schedule/champions-league-2023-2024-gruppe-c/0/,20:00,Sporting Braga,SSC Napoli,1:2,0:1,1,2,/report/champions-league-2023-2024-gruppe-c-sporting-braga-ssc-napoli/
